symbol,date,open,high,low,close,volume,adjusted
FB,2013-01-02,27.440001,28.18,27.42,28,69846400,28
FB,2013-01-03,27.879999,28.469999,27.59,27.77,63140600,27.77
FB,2013-01-04,28.01,28.93,27.83,28.76,72715400,28.76
FB,2013-01-07,28.690001,29.790001,28.65,29.42,83781800,29.42
FB,2013-01-08,29.51,29.6,28.860001,29.059999,45871300,29.059999
FB,2013-01-09,29.67,30.6,29.49,30.59,104787700,30.59
FB,2013-01-10,30.6,31.450001,30.280001,31.299999,95316400,31.299999
FB,2013-01-11,31.280001,31.959999,31.1,31.719999,89598000,31.719999
FB,2013-01-14,32.080002,32.209999,30.620001,30.950001,98892800,30.950001
FB,2013-01-15,30.639999,31.709999,29.879999,30.1,173242600,30.1
FB,2013-01-16,30.209999,30.35,29.530001,29.85,75332700,29.85
FB,2013-01-17,30.08,30.42,30.030001,30.139999,40256700,30.139999
FB,2013-01-18,30.309999,30.440001,29.27,29.66,49631500,29.66
FB,2013-01-22,29.75,30.889999,29.74,30.73,55243300,30.73
FB,2013-01-23,31.1,31.5,30.799999,30.82,48899800,30.82
FB,2013-01-24,31.27,31.49,30.809999,31.08,43845100,31.08
FB,2013-01-25,31.41,31.93,31.129999,31.540001,54363600,31.540001
FB,2013-01-28,31.879999,32.509998,31.809999,32.470001,59682500,32.470001
FB,2013-01-29,32,32.07,30.709999,30.790001,72976500,30.790001
FB,2013-01-30,30.98,31.49,30.879999,31.24,87682100,31.24
FB,2013-01-31,29.15,31.469999,28.74,30.98,190744900,30.98
FB,2013-02-01,31.01,31.02,29.629999,29.73,85856700,29.73
FB,2013-02-04,29.059999,29.200001,28.01,28.110001,92362200,28.110001
FB,2013-02-05,28.26,28.959999,28.040001,28.639999,47948200,28.639999
FB,2013-02-06,28.74,29.290001,28.66,29.049999,38375900,29.049999
FB,2013-02-07,29.110001,29.15,28.27,28.65,34540100,28.65
FB,2013-02-08,28.889999,29.17,28.51,28.549999,37708800,28.549999
FB,2013-02-11,28.610001,28.68,28.040001,28.26,37361800,28.26
FB,2013-02-12,27.67,28.16,27.1,27.370001,93498700,27.370001
FB,2013-02-13,27.360001,28.32,27.309999,27.91,50164000,27.91
FB,2013-02-14,28.02,28.629999,28.01,28.5,35615800,28.5
FB,2013-02-15,28.52,28.75,28.09,28.32,33109300,28.32
FB,2013-02-19,28.23,29.08,28.120001,28.93,49396400,28.93
FB,2013-02-20,28.92,29.049999,28.33,28.459999,42098200,28.459999
FB,2013-02-21,28.280001,28.549999,27.15,27.280001,49642300,27.280001
FB,2013-02-22,27.620001,27.629999,26.82,27.129999,36350200,27.129999
FB,2013-02-25,27.16,27.639999,27.15,27.27,34652000,27.27
FB,2013-02-26,27.360001,27.459999,26.700001,27.389999,31611700,27.389999
FB,2013-02-27,27.34,27.34,26.629999,26.870001,44319700,26.870001
FB,2013-02-28,26.84,27.299999,26.34,27.25,83027800,27.25
FB,2013-03-01,27.049999,28.120001,26.809999,27.780001,54064800,27.780001
FB,2013-03-04,27.76,28.059999,27.440001,27.719999,32400700,27.719999
FB,2013-03-05,27.879999,28.18,27.209999,27.52,40622200,27.52
FB,2013-03-06,28.1,28.129999,27.35,27.450001,33532600,27.450001
FB,2013-03-07,27.57,28.68,27.469999,28.58,74540200,28.58
FB,2013-03-08,28.43,28.469999,27.73,27.959999,44198900,27.959999
FB,2013-03-11,28.01,28.639999,27.83,28.139999,35642100,28.139999
FB,2013-03-12,28.1,28.32,27.6,27.83,27569600,27.83
FB,2013-03-13,27.620001,27.65,26.92,27.08,39619500,27.08
FB,2013-03-14,27.1,27.43,26.83,27.040001,27646400,27.040001
FB,2013-03-15,27.030001,27.059999,26.559999,26.65,31597400,26.65
FB,2013-03-18,26.370001,26.790001,25.780001,26.49,26653700,26.49
FB,2013-03-19,26.530001,26.9,26.209999,26.549999,25254200,26.549999
FB,2013-03-20,26.68,26.690001,25.780001,25.860001,44006500,25.860001
FB,2013-03-21,25.66,26.110001,25.559999,25.74,24336100,25.74
FB,2013-03-22,25.799999,26.01,25.629999,25.73,18456300,25.73
FB,2013-03-25,25.75,25.799999,25.08,25.129999,39199000,25.129999
FB,2013-03-26,25.08,25.48,25.030001,25.209999,26957200,25.209999
FB,2013-03-27,25,26.280001,24.719999,26.09,52297400,26.09
FB,2013-03-28,26.09,26.17,25.52,25.58,28585700,25.58
FB,2013-04-01,25.629999,25.889999,25.280001,25.530001,22249300,25.530001
FB,2013-04-02,25.77,26.120001,25.299999,25.42,35153300,25.42
FB,2013-04-03,25.83,26.389999,25.700001,26.25,48195200,26.25
FB,2013-04-04,26.620001,27.23,26.110001,27.07,82016800,27.07
FB,2013-04-05,26.860001,27.799999,26.610001,27.389999,64566600,27.389999
FB,2013-04-08,27.190001,27.200001,26.629999,26.85,27256000,26.85
FB,2013-04-09,26.58,26.889999,26.42,26.59,21311100,26.59
FB,2013-04-10,27.01,27.84,26.9,27.57,45949400,27.57
FB,2013-04-11,27.48,28.1,27.25,28.02,33368500,28.02
FB,2013-04-12,28,28,27.24,27.4,28697400,27.4
FB,2013-04-15,27.16,27.48,26.360001,26.52,30275400,26.52
FB,2013-04-16,26.809999,27.110001,26.4,26.92,27365900,26.92
FB,2013-04-17,26.65,27.200001,26.389999,26.629999,26440600,26.629999
FB,2013-04-18,26.82,26.82,25.15,25.690001,39059000,25.690001
FB,2013-04-19,25.620001,25.959999,25.33,25.73,20380900,25.73
FB,2013-04-22,25.809999,26.360001,25.700001,25.969999,25687600,25.969999
FB,2013-04-23,26.219999,26.33,25.77,25.98,25191500,25.98
FB,2013-04-24,25.93,26.4,25.799999,26.110001,19729900,26.110001
FB,2013-04-25,26.07,26.4,26,26.139999,17150000,26.139999
FB,2013-04-26,26.6,27.620001,26.6,26.85,33018000,26.85
FB,2013-04-29,27.16,27.41,26.860001,26.98,29201100,26.98
FB,2013-04-30,27.129999,27.85,27.01,27.77,36245700,27.77
FB,2013-05-01,27.85,27.92,27.309999,27.43,64567600,27.43
FB,2013-05-02,28.01,29.02,27.98,28.969999,104257000,28.969999
FB,2013-05-03,29.040001,29.07,28.15,28.309999,58506400,28.309999
FB,2013-05-06,28.33,28.459999,27.48,27.57,43939400,27.57
FB,2013-05-07,27.549999,27.85,26.85,26.889999,41259100,26.889999
FB,2013-05-08,26.879999,27.299999,26.65,27.120001,34654900,27.120001
FB,2013-05-09,27.08,27.549999,26.85,27.040001,33457200,27.040001
FB,2013-05-10,27.139999,27.299999,26.57,26.68,30847100,26.68
FB,2013-05-13,26.6,27.33,26.530001,26.82,29068800,26.82
FB,2013-05-14,26.889999,27.280001,26.82,27.07,24930300,27.07
FB,2013-05-15,26.92,26.99,26.4,26.6,30299800,26.6
FB,2013-05-16,26.48,26.549999,25.9,26.129999,35499100,26.129999
FB,2013-05-17,26.4,26.6,26.200001,26.25,29462700,26.25
FB,2013-05-20,26.18,26.190001,25.690001,25.76,42402900,25.76
FB,2013-05-21,25.870001,26.08,25.59,25.66,26261300,25.66
FB,2013-05-22,25.65,25.85,24.92,25.16,45314500,25.16
FB,2013-05-23,24.799999,25.530001,24.77,25.059999,37663100,25.059999
FB,2013-05-24,24.969999,24.969999,24.08,24.309999,58727900,24.309999
FB,2013-05-28,24.540001,24.540001,23.92,24.1,50079700,24.1
FB,2013-05-29,23.790001,23.809999,23.26,23.32,64237800,23.32
FB,2013-05-30,24.129999,24.780001,23.93,24.549999,60733200,24.549999
FB,2013-05-31,24.629999,24.950001,24.27,24.35,35925000,24.35
FB,2013-06-03,24.27,24.32,23.709999,23.85,35733800,23.85
FB,2013-06-04,23.889999,23.93,23.32,23.52,34760800,23.52
FB,2013-06-05,23.35,23.709999,22.790001,22.9,53819700,22.9
FB,2013-06-06,22.99,23.09,22.67,22.969999,31260700,22.969999
FB,2013-06-07,23.030001,23.4,22.860001,23.290001,38699200,23.290001
FB,2013-06-10,24.059999,24.6,23.99,24.33,58393000,24.33
FB,2013-06-11,24.030001,24.35,24,24.030001,29885900,24.030001
FB,2013-06-12,24.16,24.26,23.58,23.77,26445800,23.77
FB,2013-06-13,23.719999,23.83,23.27,23.73,31189300,23.73
FB,2013-06-14,23.559999,23.889999,23.26,23.629999,30677100,23.629999
FB,2013-06-17,23.91,24.25,23.75,24.02,33664500,24.02
FB,2013-06-18,24.09,24.690001,24.08,24.209999,36709100,24.209999
FB,2013-06-19,24.200001,25.190001,24.1,24.309999,31790600,24.309999
FB,2013-06-20,24.280001,24.75,23.65,23.9,42765600,23.9
FB,2013-06-21,24.59,24.700001,24.049999,24.530001,45833900,24.530001
FB,2013-06-24,23.950001,24.110001,23.379999,23.940001,40626000,23.940001
FB,2013-06-25,24.139999,24.43,24.040001,24.25,24713200,24.25
